,start_time,end_time,wav_filename,emotion,val,act,dom
0,6.7700,8.4600,Ses01M_impro01_F000,uncalm,1.5000,3.5000,4.5000
1,8.5500,10.6000,Ses01M_impro01_F001,uncalm,2.5000,3.5000,3.5000
2,14.4600,18.2300,Ses01M_impro01_F002,uncalm,3.0000,3.0000,3.5000
3,19.4800,23.4300,Ses01M_impro01_F003,uncalm,3.0000,3.0000,3.0000
4,23.4300,26.4675,Ses01M_impro01_F004,uncalm,2.5000,3.5000,3.5000
5,28.4100,30.9600,Ses01M_impro01_F005,uncalm,2.5000,3.0000,3.5000
6,36.1500,38.6000,Ses01M_impro01_F006,uncalm,2.5000,3.0000,4.0000
7,39.8900,43.3100,Ses01M_impro01_F007,uncalm,2.0000,3.5000,4.0000
8,43.3100,47.0461,Ses01M_impro01_F008,uncalm,1.5000,4.0000,4.5000
9,52.3400,55.1200,Ses01M_impro01_F009,uncalm,2.5000,2.5000,4.0000
10,56.1600,58.1800,Ses01M_impro01_F010,uncalm,3.0000,3.0000,4.0000
11,61.0500,63.2100,Ses01M_impro01_F011,uncalm,2.0000,4.0000,4.5000
12,65.5450,67.4700,Ses01M_impro01_F012,uncalm,2.5000,2.5000,4.0000
13,69.4500,70.8400,Ses01M_impro01_F013,uncalm,3.0000,2.5000,3.5000
14,71.3650,74.4600,Ses01M_impro01_F014,uncalm,2.5000,3.0000,3.0000
15,74.6775,80.6875,Ses01M_impro01_F015,uncalm,1.5000,4.0000,4.5000
16,86.3400,87.8700,Ses01M_impro01_F016,uncalm,3.0000,3.0000,3.0000
17,91.2800,94.5350,Ses01M_impro01_F017,uncalm,3.0000,3.0000,3.5000
18,95.2400,98.2100,Ses01M_impro01_F018,uncalm,2.5000,3.0000,4.0000
19,98.4600,102.0700,Ses01M_impro01_F019,uncalm,1.0000,4.5000,4.5000
20,105.7600,109.0900,Ses01M_impro01_F020,uncalm,1.0000,4.0000,5.0000
21,109.1900,114.1025,Ses01M_impro01_F021,uncalm,1.0000,4.5000,5.0000
22,114.1300,124.8200,Ses01M_impro01_F022,uncalm,1.0000,5.0000,5.0000
23,129.1200,131.0325,Ses01M_impro01_F023,uncalm,3.0000,2.5000,3.0000
24,132.8900,136.6025,Ses01M_impro01_F024,calm,3.0000,2.5000,3.0000
25,137.0600,140.4900,Ses01M_impro01_F025,calm,3.0000,3.0000,4.0000
26,146.6075,148.2600,Ses01M_impro01_F026,uncalm,3.0000,3.0000,3.0000
